time,percent_change_last_week,percent_change_last_month
00h,20.0,21.951219512195124
01h,50.0,56.250000000000014
02h,614.2857142857143,300.0
03h,-100.0,-100.0
04h,-100.0,-100.0
05h,181.69014084507046,181.69014084507046
06h,111.26760563380283,42.85714285714285
07h,233.33333333333334,98.80715705765407
08h,573.8544474393531,154.5824847250509
09h,255.02958579881656,104.0816326530612
10h,64.49885233358836,50.507525376268816
11h,76.0,55.58698727015559
12h,91.66666666666666,77.67477790652761
13h,121.89349112426034,86.18121638394702
14h,-2.9126213592233023,-23.66412213740458
15h,-100.0,-100.0
16h,-100.0,-100.0
17h,-100.0,-100.0
18h,-22.848664688427306,-29.5774647887324
19h,77.77777777777779,75.7276221856123
20h,89.45634266886326,24.123043712897996
21h,88.55218855218855,57.12682379349046
22h,128.16679779701022,87.09677419354838
23h,105.31400966183577,94.28571428571428
